unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
1,1257.2247876,1411.23994241,1386.92014206,1364.80053817,1340.92752504,1317.27762472,1295.84439285,1276.270563,1258.25081483,1243.72583792,1229.99775389,1217.25756029,1205.36840603,1194.22301133,1188.37452507,1183.6223075,1179.30353147,1175.32790465,1171.65258614,1172.5330606
2,1776.28232881,1992.99182773,1957.79547164,1925.78572269,1893.1249011,1861.4773728,1832.64640962,1806.21780427,1781.896912,1762.65480146,1746.3231472,1730.90117798,1716.30749207,1702.47541819,1694.41739284,1678.65717345,1665.32594925,1653.94661956,1644.17007511,1640.34704495
3,495.548457303,561.923871695,557.553443864,553.641723806,549.977901938,546.718177066,543.809097412,541.181246366,538.779257215,536.972771418,535.555519885,534.272766303,533.097037455,532.008010431,531.901405088,531.443837112,531.214302931,531.154302014,531.214974719,531.55497284
4,2157.00307353,2446.99446603,2427.48338781,2408.87532343,2396.38168513,2381.29235279,2366.19849461,2351.27982643,2336.61841082,2330.77654452,2324.20261428,2316.58378659,2308.26777323,2299.51473526,2297.01993082,2280.87874066,2266.46123231,2253.48973581,2241.78592568,2240.21044393
5,4157.53326916,4685.52416025,4621.50062867,4562.76874743,4517.92631272,4471.60715839,4428.20458245,4387.31633053,4348.55810663,4328.17683474,4308.55746253,4288.58724736,4268.4534912,4248.30175188,4246.97396782,4224.84535629,4206.3345672,4190.65821679,4177.26888865,4176.66536329
6,3735.7260725,4273.22703059,4273.91917579,4275.19191822,4265.27047431,4251.81644438,4240.41401982,4230.61612443,4222.19586858,4201.97438767,4178.20212538,4157.39884576,4138.96693817,4122.44106755,4094.09038057,4058.80139572,4030.45288292,4007.65916789,3989.38399672,3957.55409171
7,1953.4107698,2184.47464728,2139.30705252,2098.29913666,2048.52359453,2004.58892805,1965.28984293,1929.88472896,1897.78339867,1863.37761385,1833.03787534,1805.82193643,1781.26857917,1759.01333837,1736.31743275,1702.35366434,1674.27123786,1650.90403447,1631.3410338,1608.23176638
8,1516.95732767,1801.87767239,1862.11864318,1916.83447251,1981.95328854,2039.32386674,2090.95648959,2137.72362657,2180.25600826,2222.31216921,2260.17342966,2294.86444594,2326.80763538,2356.34010346,2383.55549867,2428.9451606,2469.27595711,2505.43394132,2538.11751161,2558.86917389
9,781.373914497,890.280158688,887.267426701,884.667042253,875.922158789,868.049214945,861.346693927,855.574663336,850.544465794,842.737256054,836.686418741,831.683924469,827.516978097,824.021526953,821.286906707,822.376768236,824.252323527,826.73660879,829.67928699,826.191053587
10,2195.03591783,2451.87782862,2395.64951052,2342.12878884,2308.98308608,2269.81200264,2230.43326582,2191.31324613,2152.87094533,2141.07035791,2128.51963015,2112.69530918,2094.57262492,2074.88842051,2077.39869528,2019.48730277,1970.13319539,1927.66403255,1890.85172271,1869.79168949
11,1148.95635433,1292.16868059,1271.50098698,1252.1127396,1242.6113408,1230.71482693,1218.85448778,1207.11456011,1195.57024091,1192.85001626,1189.46911332,1185.15775221,1180.17009034,1174.70066348,1176.40251594,1163.75321315,1153.01093422,1143.78888743,1135.81088653,1131.17610703
12,776.52626075,870.753374452,854.782878098,840.142726624,826.618110288,813.49516615,801.371855354,790.113266831,779.673689792,770.828343637,762.800502424,755.144075233,747.8357225,740.855182512,735.34627162,722.828252943,712.43479969,703.741579371,696.421995188,689.175426446
13,1214.20357848,1370.19891818,1353.30422707,1337.96533556,1321.55892499,1306.60860503,1293.32652654,1281.43491838,1270.77235736,1257.37250204,1247.4302692,1238.71558728,1231.0349572,1224.23594742,1214.00569767,1200.3071776,1189.37955058,1180.6625991,1173.71748814,1160.20606483
14,2920.73095024,3259.39893288,3183.94195254,3113.84577099,3058.66939611,3005.29579206,2954.4774498,2906.01781097,2860.05214966,2835.38561234,2818.66962069,2800.48524164,2781.3539199,2761.67327542,2762.2346491,2713.07063339,2671.34411966,2635.57778555,2604.62720615,2587.92790602
15,581.729722897,655.538352977,646.318862901,637.701242281,632.108157463,625.852095987,619.703106695,613.688848684,607.825477384,606.068590225,603.951700931,601.457168921,598.698029711,595.760396728,596.461540991,588.778029389,582.412216463,577.100069384,572.645855282,570.04532192
16,1041.76141164,1178.33417609,1166.24667904,1155.22242626,1144.57592908,1133.1621658,1122.89577614,1113.59738171,1105.1203883,1095.33162761,1086.87608182,1079.30966243,1072.50532453,1066.36220311,1057.74599868,1045.96787834,1036.59003851,1029.12726715,1023.20297269,1012.42577814
17,2700.70876239,3101.30601576,3112.8823917,3124.05933513,3128.31574311,3131.37794394,3135.78541371,3141.17758133,3147.26656574,3136.75190922,3131.30386333,3128.41470626,3127.51651123,3128.16923477,3108.77244692,3068.3411704,3035.65523437,3009.17348626,2987.72827631,2940.04787009
18,4826.03651595,5432.02478553,5351.40640188,5277.51970156,5202.6098846,5131.88010817,5067.13709089,5007.48405028,4952.2975506,4905.17200569,4863.58677978,4824.54928285,4787.78328205,4753.0669116,4728.43219079,4676.22585931,4631.90965468,4593.91197823,4560.99214634,4534.20171344
19,4466.17682044,5181.83402978,5249.79125434,5313.30622281,5362.39643883,5409.81397764,5455.14777986,5498.4758816,5540.06040087,5564.06060573,5598.8748153,5633.12538401,5666.59127356,5699.11464489,5715.65006539,5748.08095052,5778.53664429,5807.2365528,5834.31585222,5841.74313769
20,3638.60347991,4134.12882989,4110.50561055,4090.54534505,4037.10784472,3988.20053188,3946.71614391,3911.19754077,3880.64216127,3831.34773834,3791.30723436,3757.39429134,3728.3947895,3703.36933598,3667.62369163,3632.37039737,3603.33118734,3579.24301134,3559.0522974,3530.44639017
21,2768.4844407,3229.04917528,3284.85276041,3335.17759542,3402.74916084,3463.44983583,3517.35714553,3565.58701949,3609.05473355,3656.27212378,3701.99529547,3743.0111757,3780.05147728,3813.69101113,3846.81929517,3887.64090521,3923.22585849,3954.52245927,3982.207322,3998.88186568
22,1187.78538642,1376.3599916,1392.93755235,1408.54972308,1420.40025133,1430.00825405,1439.49650831,1448.7981515,1457.9786971,1457.80790402,1458.90836837,1460.82111506,1463.3106018,1466.19586716,1458.23762356,1438.98545687,1423.37135252,1410.6594827,1400.24973319,1376.54545734
23,1006.9757469,1152.48601093,1152.74090824,1152.69439439,1162.21308792,1167.78029511,1171.92640771,1174.93462763,1177.01857986,1186.9206438,1195.16156843,1201.61734244,1206.63371429,1210.48030971,1219.85690291,1228.92964192,1236.37058361,1242.47630748,1247.4659731,1259.5021827
24,732.58156201,824.120777129,811.525940614,800.044687491,785.336214533,771.800533248,759.668451848,748.713650621,738.771813797,726.889591733,716.51380965,707.150099677,698.640980895,690.861589646,681.783957841,668.812143956,657.787431324,648.338350767,640.200823254,631.413370373
25,1971.61926509,2261.99432299,2267.88303849,2273.12414228,2280.89616375,2285.63588832,2289.55111878,2292.80306754,2295.51883078,2301.41346934,2307.93064945,2313.46469646,2318.19852985,2322.27399567,2328.16997004,2338.30160599,2346.73002544,2353.7884164,2359.75644623,2369.14843631
26,821.97016899,910.952833141,883.89073876,858.799187782,837.086317129,814.554874017,793.268197516,773.112405011,754.07319244,743.430650189,734.467970835,725.125677968,715.566818267,705.9139468,705.741140752,689.015342923,674.536502055,661.863942337,650.685620316,646.355716935
27,1111.19231599,1243.99212694,1220.22701983,1199.27667411,1171.59143714,1147.48358216,1126.64408916,1108.46345966,1092.527833,1071.00770875,1053.47741957,1038.25786346,1024.9019625,1013.06202572,997.166312462,984.212664655,973.699833606,965.134520101,958.23368117,947.018743839
28,2951.85513927,3291.04520022,3214.21941834,3144.84525417,3057.61752589,2978.72159563,2908.4252781,2845.28214236,2788.35701159,2726.08628003,2674.17726549,2627.58095828,2585.44693718,2547.10908805,2508.52583492,2456.1675026,2412.22932135,2375.05641487,2343.37162886,2313.18470865
30,2295.47453301,2568.40700149,2514.59222605,2464.00031235,2433.05635564,2399.92245964,2366.85901809,2334.15408956,2301.91158292,2293.33449301,2279.38544738,2263.05033156,2245.04020126,2225.89533811,2228.32177034,2178.17137525,2135.54292133,2098.95355362,2067.28194581,2051.58203537
31,3735.05874227,4354.90985716,4428.68513673,4495.20997409,4583.90393625,4657.33679062,4721.80779293,4778.89435554,4829.92869412,4893.36673848,4955.23691883,5009.51414119,5057.46908444,5100.09179481,5148.86378617,5332.28745749,5482.80005638,5607.00252821,5710.04147067,5844.61272691
40,1067.78911795,1185.22721157,1152.85230313,1123.77171442,1077.80176821,1041.6530141,1009.80756781,981.547772614,956.258209998,928.094759206,900.059892011,875.162159348,852.899452402,832.877977896,814.550918114,808.918346229,802.678065965,796.044751273,789.133226037,793.489503779
41,5731.25585222,6795.29055307,7011.08899143,7206.77202721,7439.62888368,7652.04140908,7843.18310421,8016.46956284,8174.27239637,8328.29835626,8459.35436336,8579.19182703,8689.43677743,8791.37246623,8878.40388828,9002.98517713,9107.62471292,9196.29769461,9272.07446375,9325.284771
42,5383.47998956,6222.38903494,6281.25251274,6335.42489357,6376.01822432,6445.80269271,6511.08914294,6572.42573419,6630.30892334,6670.86928495,6721.12379163,6769.63908042,6816.46773647,6861.66401145,6894.16856498,6940.47614801,6980.15715492,7014.48697542,7044.23017517,7062.50718255
43,5240.61620987,6002.57304883,6011.45591617,6021.14278878,5991.63193647,5991.01852416,5994.06534222,5999.95947861,6007.90180542,5993.61063567,5978.87588919,5969.25131941,5963.69123139,5961.38759955,5945.48266454,5930.76346432,5917.35792236,5905.12044102,5893.78287791,5883.64063851
44,3261.21813708,3769.20359163,3804.49084511,3836.84268167,3866.92537046,3896.13839465,3923.57969027,3949.45846332,3973.72216309,3988.63498821,3995.10666285,4002.39895769,4010.28719377,4018.60208896,4021.32060717,4037.75691368,4051.13229594,4062.15062028,4071.37659105,4073.06780343
45,1204.74834018,1428.99731489,1475.24599559,1517.53529636,1561.84043009,1593.9620016,1623.14405899,1649.84834532,1674.31667547,1697.70033016,1713.69905096,1728.64305057,1742.6624742,1755.8605163,1765.00261188,1771.80714202,1776.70232164,1780.11748187,1782.45757808,1782.34681062
46,219.570843041,260.880919745,269.051230925,275.936881728,292.993263887,306.762178502,318.055589208,327.351357307,335.017017231,350.915122867,364.07682952,374.830643312,383.633639567,390.840994804,405.196015554,468.393294749,520.030738296,562.386016748,597.209427414,647.960581782
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1404.36509346,1637.68111064,1666.59053454,1693.52113087,1719.33813424,1723.69249308,1728.34153156,1733.20208569,1737.87461214,1739.33117923,1722.39304232,1707.79333465,1695.1202965,1684.05381807,1668.12203607,1663.84873972,1658.65599179,1652.83372024,1646.78543867,1644.82921988
50,283.957873026,331.679182322,338.074080934,344.061249679,347.861634631,353.446204467,358.828303243,364.020215343,369.030153305,371.43137039,374.304472944,377.311911596,380.406129215,383.550755893,383.52472201,375.175900183,368.329718226,362.693956767,358.032332332,351.023151875
51,619.341255523,709.104092316,710.105219321,711.39486271,709.427824564,705.002782978,701.554506923,698.889614504,696.746950164,692.204158975,682.352084555,673.919055202,666.648031823,660.339919733,652.227077627,656.097762877,659.034284629,661.223420378,662.846568845,668.447663877
52,1065.05219718,1233.3025484,1247.21034628,1260.15704239,1268.27563428,1272.8914141,1277.70742855,1282.6250299,1287.58218439,1288.8301288,1292.25452753,1296.103562,1300.24288568,1304.57191641,1306.61746823,1302.48616393,1299.09305903,1296.26327643,1293.89768984,1285.64555216
53,949.025339743,1071.28061815,1058.17445409,1046.1151547,1030.41289465,1029.46136858,1028.61668758,1027.88682349,1027.27030123,1026.36465293,1026.014483,1025.64087281,1025.27135789,1024.92583074,1026.1822152,1057.25260413,1082.37672459,1102.78195073,1119.29916967,1148.23383919
54,343.930889512,386.75469256,380.637429453,374.975614179,370.557456676,369.99940785,369.274882282,368.413119573,367.436252647,369.107986912,370.463076435,371.378875233,371.93396327,372.190933137,376.692374313,417.031607914,450.55192196,478.541391248,501.962397829,535.676538281
55,1333.53417822,1564.22108226,1600.01927262,1633.21245669,1664.87339522,1701.06964944,1735.18923651,1767.4794277,1798.08621603,1817.12991647,1835.14116202,1853.32179646,1871.5276664,1889.65102417,1893.01103749,1861.34736914,1836.35164185,1816.72454674,1801.43644043,1768.2571225
